Geneid,PC3_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Normoxia_S1,LNCAP_Hypoxia_S2,PC3_Normoxia_S1,PC3_Hypoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S1
ENSG00000008283,548,2078,4767,5083,824,1568,5108,4163
ENSG00000008294,520,1628,2286,2610,566,1759,2463,2363
ENSG00000008300,45,83,309,915,37,87,457,796
ENSG00000008311,343,1377,2320,1724,440,1057,2536,1481
ENSG00000008323,13,59,42,72,16,38,44,65
ENSG00000008324,31,102,354,448,38,85,470,370
ENSG00000008382,14,53,188,163,34,29,382,209
ENSG00000008394,1945,5800,16948,9361,1891,5702,20690,8057
ENSG00000008405,222,438,694,1286,213,704,826,1137
ENSG00000008438,2,3,6,2,3,2,3,0
ENSG00000008441,522,1598,27349,32229,543,1576,38229,29257
ENSG00000008513,1273,2416,27537,35056,968,3761,35000,32054
ENSG00000008516,7,21,26,29,5,8,29,17
ENSG00000008517,180,485,351,862,184,427,376,749
ENSG00000008710,90,272,1461,2295,108,202,2262,2864
ENSG00000008735,3,9,387,507,4,23,845,421
ENSG00000008838,175,583,1931,2764,272,515,2720,2206
ENSG00000008853,84,434,460,446,165,288,651,728
ENSG00000008869,285,788,2014,2195,324,794,2303,1875
ENSG00000008952,105,541,9378,8921,151,444,11578,7788
ENSG00000008988,717,2097,10424,10444,865,2215,15820,11305
ENSG00000009307,3667,10540,42576,46832,3714,11835,47359,41313
ENSG00000009335,1052,3042,5912,6796,1258,3278,6545,5749
ENSG00000009413,338,1286,1504,2538,471,1044,1559,2083
ENSG00000009694,9,16,468,1424,1,18,559,1300
ENSG00000009709,0,0,0,0,0,1,1,0
ENSG00000009724,22,98,182,232,33,73,218,4
ENSG00000009765,2,1,619,545,2,0,572,501
ENSG00000009780,81,320,604,569,111,267,684,546
ENSG00000009790,3,5,7,22,1,7,16,0
ENSG00000009830,69,230,971,1633,87,203,1137,1358
ENSG00000009844,857,2552,4302,4725,862,2411,4550,4157
ENSG00000009950,14,61,268,239,25,32,332,270
ENSG00000009954,159,679,9113,11627,261,519,9988,10065
ENSG00000010017,224,737,2747,4008,240,682,2904,4308
ENSG00000010030,0,3,24,11,1,7,40,4
ENSG00000010072,105,403,779,873,129,313,863,688
ENSG00000010165,283,1210,1418,1141,497,824,1897,887
ENSG00000010219,101,463,807,1026,167,331,1030,876
ENSG00000010244,1302,3777,7971,8596,1351,3514,9302,7328
ENSG00000010256,671,2208,2879,3586,918,2028,4982,3153
ENSG00000010270,310,880,1863,1833,334,885,2236,1682
ENSG00000010278,785,1792,29716,41756,628,2572,45053,43738
ENSG00000010282,0,0,1,4,0,0,3,2
ENSG00000010292,1259,3858,4192,4163,1405,3597,4060,4935
ENSG00000010295,8,11,13,16,5,26,3,15
ENSG00000010310,8,15,1,2,2,15,4,0
ENSG00000010318,41,157,417,360,51,100,493,374
ENSG00000010319,4,13,353,336,5,10,405,350
ENSG00000010322,256,889,4012,5032,333,708,5528,4654
ENSG00000010327,2,9,5,12,2,6,8,16
ENSG00000010361,5,58,122,233,21,51,220,256
ENSG00000010379,0,1,10,11,1,0,13,5
ENSG00000010404,56,170,232,162,70,165,145,330
ENSG00000010438,15,27,1,1,5,47,4,0
ENSG00000010539,44,132,522,575,46,100,499,486
ENSG00000010610,0,0,9,20,0,0,19,15
ENSG00000010626,38,100,604,519,47,87,672,453
ENSG00000010671,2,19,9,4,4,10,8,7
ENSG00000010704,0,2,225,200,2,7,194,153
ENSG00000010803,153,644,2497,2529,194,463,3053,2428
ENSG00000010810,106,301,91,265,114,313,179,273
ENSG00000010818,623,1146,1789,3419,407,1950,1910,3015
ENSG00000010932,3,4,33,34,2,3,48,0
ENSG00000011007,246,799,2612,3600,293,714,3118,3676
ENSG00000011009,88,320,749,1121,142,234,1130,1089
ENSG00000011021,64,220,737,1272,66,181,847,1042
ENSG00000011028,120,275,13,4,101,332,13,11
ENSG00000011052,0,0,0,0,0,0,0,0
ENSG00000011083,1,0,0,0,0,0,0,0
ENSG00000011105,145,538,862,862,218,360,1359,769
ENSG00000011114,170,477,2259,3086,177,506,2346,2683
ENSG00000011132,69,273,294,414,97,176,470,394
ENSG00000011143,105,403,666,843,159,241,799,757
ENSG00000011198,640,1338,1601,1738,457,1800,1727,1561
ENSG00000011201,1489,3697,5,1,1302,4326,3,3
ENSG00000011243,191,587,2187,4010,212,634,2746,5429
ENSG00000011258,583,1507,1871,2198,551,1711,1998,1970
ENSG00000011260,89,326,1292,1293,116,268,1518,1123
ENSG00000011275,391,1235,1138,1801,462,1139,1445,1487
ENSG00000011295,244,774,3431,5519,246,615,3676,4711
ENSG00000011304,970,2542,7621,8023,903,2877,9062,6624
ENSG00000011332,22,88,216,238,31,51,278,248
ENSG00000011347,46,151,2783,3956,37,115,3727,3976
ENSG00000011376,226,1010,3405,2615,380,690,4228,2282
ENSG00000011405,574,1880,4509,6639,690,2091,4390,6028
ENSG00000011422,963,1723,38,85,692,2205,52,68
ENSG00000011426,3369,10092,6302,5394,3488,10629,6096,4614
ENSG00000011451,236,702,2374,5646,287,654,3355,5091
ENSG00000011454,129,426,5573,6430,148,427,6126,5567
ENSG00000011465,0,0,0,0,0,0,0,2
ENSG00000011478,54,182,112,145,73,132,183,132
ENSG00000011485,179,767,1779,1746,301,494,2223,1627
ENSG00000011523,164,681,750,566,226,404,878,564
ENSG00000011566,290,786,1236,1620,245,850,1271,1516
ENSG00000011590,1,17,81,49,4,2,122,0
ENSG00000011600,0,0,0,0,0,0,0,0
ENSG00000011638,76,210,437,639,89,226,514,570
ENSG00000011677,69,181,181,218,64,255,236,175
ENSG00000012048,255,914,3458,2480,329,674,3563,2072
ENSG00000012061,333,786,529,575,340,801,774,763
ENSG00000012124,0,0,7,20,2,0,3,11
ENSG00000012171,121,244,243,531,88,299,532,540
ENSG00000012174,1112,3393,2266,2283,1260,2872,2283,1976
ENSG00000012211,37,138,431,647,63,116,673,707
ENSG00000012223,0,0,106,28,0,0,257,21
ENSG00000012232,501,1583,868,1424,581,1436,1175,1249
ENSG00000012504,0,0,0,4,0,0,1,2
ENSG00000012660,2244,7246,86541,203158,2869,6637,96501,164562
ENSG00000012779,23,35,7,14,20,59,11,16
ENSG00000012817,0,0,2081,2354,0,0,2512,1949
ENSG00000012822,388,824,1653,3084,252,1147,1918,3069
ENSG00000012963,163,539,1877,2044,202,522,2189,1800
ENSG00000012983,1358,2927,2256,3720,1040,4195,2312,3528
ENSG00000013016,87,362,710,694,160,293,1184,569
ENSG00000013275,540,1643,3141,3977,596,1629,4393,3442
ENSG00000013288,51,158,1893,2255,58,152,2241,1884
ENSG00000013293,1,0,0,2,2,3,0,0
ENSG00000013297,108,409,7,11,125,236,4,9
ENSG00000013306,1717,6235,3043,3535,2524,4738,5457,3060
ENSG00000013364,173,570,299,258,209,469,475,220
ENSG00000013374,317,1185,4411,3879,418,986,5123,3463
ENSG00000013375,591,1367,2566,2506,460,1702,2750,2474
ENSG00000013392,31,81,1857,2086,24,105,2144,1654
ENSG00000013441,829,1232,4611,11641,540,2643,5039,11470
ENSG00000013503,219,898,2623,1763,328,686,2760,1373
ENSG00000013523,56,264,1108,1349,94,125,1528,1493
ENSG00000013561,202,674,2363,2805,234,621,2954,2472
ENSG00000013563,33,91,268,481,41,71,415,873
ENSG00000013573,85,338,970,1220,136,257,1193,1058
ENSG00000013583,124,404,2122,1659,165,386,2145,1340
ENSG00000013588,4155,5768,9,4,2116,11760,5,3
ENSG00000013619,73,217,58,93,69,190,70,107
ENSG00000013725,3,14,0,0,6,10,0,0
ENSG00000013810,205,852,3700,4622,370,685,4465,3969
ENSG00000014123,289,973,4946,3761,346,739,5166,3447
ENSG00000014138,121,380,167,230,159,263,218,193
ENSG00000014164,110,314,207,286,96,240,332,232
ENSG00000014216,1182,2502,2800,4494,961,3392,4110,4136
ENSG00000014257,25,40,1202,408,20,58,1378,316
ENSG00000014641,656,1674,2927,3076,637,1794,3608,2552
ENSG00000014824,739,1442,10440,10138,545,2078,12505,9355
ENSG00000014914,375,620,195,295,241,855,187,210
ENSG00000014919,231,506,1020,974,167,589,1272,714
ENSG00000015133,50,185,3156,5266,53,126,3933,4704
ENSG00000015153,119,417,614,714,146,419,587,652
ENSG00000015171,516,1776,7427,7227,614,1573,7850,6164
ENSG00000015285,2,8,72,79,1,4,92,101
ENSG00000015413,0,0,0,0,0,0,1,2
ENSG00000015475,121,346,306,302,147,393,476,290
ENSG00000015479,14,101,243,243,30,77,251,283
ENSG00000015520,2,2,35,41,0,1,46,51
ENSG00000015532,291,1125,829,913,426,733,1210,810
ENSG00000015568,4,0,10,31,3,9,7,107
ENSG00000015592,0,0,20,76,0,0,147,66
ENSG00000015676,289,1083,2090,2112,426,746,3244,1860
ENSG00000016082,1,22,25,9,4,7,20,6
ENSG00000016391,19,109,1116,1487,39,41,1331,1584
ENSG00000016402,17,83,16,16,28,54,33,21
ENSG00000016490,0,0,0,0,0,0,0,0
ENSG00000016602,1,0,0,0,0,0,1,0
ENSG00000016864,351,936,1467,1712,400,860,2067,1472
ENSG00000017260,1058,2712,5712,7394,1006,3044,6190,6365
ENSG00000017427,1,0,80,308,0,0,91,696
ENSG00000017483,13,8,13,5,1,28,6,9
ENSG00000017797,82,318,3264,4579,95,239,4049,3847
ENSG00000018189,49,263,1004,905,80,160,1114,779
ENSG00000018236,308,779,0,0,264,866,0,0
ENSG00000018280,14,6,38,51,4,20,90,31
ENSG00000018408,782,2612,174,189,840,2474,198,137
ENSG00000018510,798,2533,1761,2127,903,2596,1696,1879
ENSG00000018607,0,0,0,0,0,0,0,0
ENSG00000018610,50,185,682,591,79,110,877,695
ENSG00000018625,17,24,7,22,10,30,5,30
ENSG00000018699,236,924,873,512,356,639,1010,420
ENSG00000018869,0,0,165,206,0,0,182,210
ENSG00000019102,12,23,3,2,14,27,14,1
ENSG00000019144,130,576,670,1287,229,332,929,1429
ENSG00000019169,14,52,2,3,30,36,2,1
ENSG00000019186,70,242,1,0,102,182,0,0
ENSG00000019485,52,216,61,48,82,168,67,52
ENSG00000019505,8,33,21,18,12,28,15,14
ENSG00000019549,224,604,455,989,213,726,500,790
ENSG00000019582,1,6,7,8,3,7,12,4
ENSG00000019991,16,49,0,0,16,69,0,0
ENSG00000019995,312,688,1254,1821,241,1143,1505,2995
ENSG00000020129,116,336,1216,1203,150,299,1599,903
ENSG00000020181,18,110,17,6,40,33,12,13
ENSG00000020219,0,0,0,1,0,1,0,0
ENSG00000020256,282,947,1308,1497,334,698,1695,1413
ENSG00000020426,698,2180,1169,1150,841,2183,1249,1116
ENSG00000020577,1742,2086,69,138,838,5473,107,150
ENSG00000020633,1,5,3,0,1,3,5,0
ENSG00000020922,132,506,2001,1601,214,328,1909,1311
ENSG00000021300,112,363,8874,11652,150,312,12459,10751
ENSG00000021355,238,507,4,0,168,719,1,0
