"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000009413",1147.20689853017,0.195913053661521,0.172715695792201,0.167907320448043,0.356901737247412
"ENSG00000009694",249.863658874854,1.37488716473256,0.195280610859966,1.40846156262205e-13,1.22451889017022e-11
"ENSG00000009724",85.3456629769055,-0.0469996047293973,0.285963404066391,0.580755950033434,0.756928633959907
"ENSG00000009765",143.683635993213,-0.0627743051538363,0.205178291645873,0.673512535966112,0.819641026003145
"ENSG00000009780",313.001054160086,-0.100017331646409,0.11156599054954,0.333020529849515,0.548314734035337
"ENSG00000009790",6.15182345989435,0.035863890588923,0.286231054160846,0.636391947314606,NA
"ENSG00000009830",448.435228684308,0.271142534760123,0.154458891552243,0.0404431366297313,0.135819339992546
"ENSG00000009844",2535.99551925254,0.118789127837516,0.0867171016938744,0.152389928404631,0.335050329997169
"ENSG00000009950",98.5483942094488,-0.223703800682989,0.197318939481821,0.145557945708025,0.325373801139804
"ENSG00000009954",2923.06169953432,-0.0040310965318607,0.133300054433176,0.987972716084765,0.995262041892966
"ENSG00000010017",1285.37752650088,0.333541168204517,0.157449295564453,0.0137921393039,0.0611834457039994
"ENSG00000010030",6.65870849714574,-0.081890302806567,0.297009197373009,0.313477442387838,NA
"ENSG00000010072",398.880411208544,-0.0394380947946879,0.112555229062923,0.705515583015443,0.840859797016564
"ENSG00000010165",931.613575946217,-0.515340708006619,0.0979901454288257,3.51312403102638e-08,1.12552748483781e-06
"ENSG00000010219",455.640133615706,-0.0703166996640131,0.131099392681697,0.548758164029469,0.734517803080171
"ENSG00000010244",4217.37561932603,0.0508266415880921,0.0714092906425938,0.469472874325443,0.670242537212408
"ENSG00000010256",2155.51618026893,-0.0700605942699127,0.117267371879676,0.515476203778921,0.708072199387742
"ENSG00000010270",994.826483163661,0.0108796013358572,0.0927180648265858,0.900638875739431,0.954436099732623
"ENSG00000010278",11327.7164068583,0.428406445642145,0.133541446120357,0.000351289569631374,0.00349475188326754
"ENSG00000010292",3258.31324551445,0.137256009010566,0.12645246130167,0.233350062269662,0.439237015804405
"ENSG00000010295",13.9396374324324,0.361254417332941,0.492064769947034,0.0476423796590398,0.152559406219607
"ENSG00000010310",9.01308242697472,0.0256890031247874,0.278710476871155,0.780919692464665,0.889164852813127
"ENSG00000010318",177.229308036469,-0.204044324796152,0.141538211087314,0.100715785657233,0.254403022524304
"ENSG00000010319",98.2155176223261,-0.0376038071406631,0.179660877940326,0.792844556837435,0.896123124462174
"ENSG00000010322",1675.38101386295,0.0103218865420598,0.0940895353152818,0.906285345118566,0.957589501874836
"ENSG00000010327",6.40401071542469,0.106003625984954,0.292111034718078,0.345764523082086,NA
"ENSG00000010361",78.3167063814234,0.0516968465387551,0.235589467172988,0.71396233092176,0.847169921323898
"ENSG00000010379",2.92066938565133,-0.0682717730140173,0.294212006457299,0.411204901074196,NA
"ENSG00000010404",155.645349077173,0.123134865060527,0.233139102801486,0.419341271962916,0.629228413985364
"ENSG00000010438",19.7300743301002,0.0833059767059656,0.284911370435566,0.438931903828352,0.646187312340985
"ENSG00000010539",201.741036016082,0.0477090282375019,0.144816074090111,0.702888978039948,0.839092222828879
"ENSG00000010610",3.92983644721371,0.0273256582337275,0.286884035455105,0.696038431226456,NA
"ENSG00000010626",202.416447597841,-0.169756471894929,0.140833053575702,0.168291789805323,0.357308304299675
"ENSG00000010671",8.29080508715221,-0.128050677113936,0.295272183325823,0.307936290172982,NA
"ENSG00000010704",51.0198745881801,-0.00473944747267967,0.235231181421308,0.975671845677655,0.990700937197617
"ENSG00000010803",960.231139040038,-0.110553043913551,0.104804635189793,0.258979765326385,0.469201376183948
"ENSG00000010810",229.105176376187,0.523927635523987,0.253985458019879,0.00627654976506755,0.0338431297165476
"ENSG00000010818",1527.27597530506,0.88288795941536,0.0936440460837834,4.93866777725376e-22,9.66079396735101e-20
"ENSG00000010932",10.0177089596376,-0.038223375109188,0.287358895853736,0.602059022918851,0.77120832830928
"ENSG00000011007",1261.20689107594,0.213955653822178,0.122226862975305,0.0544394305687152,0.166920237451385
"ENSG00000011009",428.246609101465,0.0211404266317957,0.155542179060552,0.869740817252635,0.938524753948316
"ENSG00000011021",357.763771068342,0.304969744893704,0.167566799595782,0.0303037865703368,0.110286267260632
"ENSG00000011028",181.10436569873,0.0725200044361485,0.216280947434775,0.624658492845669,0.786254525467294
"ENSG00000011105",512.403201828518,-0.3130137570473,0.120627312159727,0.00451748687416661,0.0264928662346629
