"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000006118",1398.29544086564,1342.45657809597,814.082789239375,1398.84304154444,1219.76675053638,1176.32381283051,1248.32088251371,1078.23497376992
"ENSG00000006125",5925.4720675917,6150.55270564379,6581.864800015,5914.96955499072,5164.30476534785,5072.03149885156,4908.89820233249,4893.44306417178
"ENSG00000006128",0,0.49102288884271,0,0,0,0,0,1.1036181921903
"ENSG00000006194",871.983281305366,826.882544811124,778.664193991343,900.763479611741,85.0709118322805,86.4943980022436,87.2951666093507,107.050964642459
"ENSG00000006210",1.11506813466159,0.98204577768542,0.544901465354334,0.879222527683496,6.25521410531475,0,5.81967777395671,3.31085457657089
"ENSG00000006282",2382.34306970449,2425.16204799414,2112.0380797134,2447.31590580701,746.872564174581,819.966893061269,980.615704911706,909.381390364805
"ENSG00000006283",17.8410901545855,27.9883046640345,4.90411318818901,6.15455769378447,68.8073551584622,65.7357424817051,75.6558110614373,62.9062369548469
"ENSG00000006327",286.572510608029,290.194527306042,125.872238496851,169.250336579073,3327.77390402744,3321.38488328615,5083.48853555119,4204.78531224503
"ENSG00000006377",1.11506813466159,0,0,0,1.25104282106295,0,5.81967777395671,2.20723638438059
"ENSG00000006432",515.719012280987,518.029147729059,320.946963093703,351.689011073398,4517.51562685831,4307.42102051173,3602.3805420792,3395.83317736954
"ENSG00000006451",1504.22691365849,1422.98433186617,1619.99205649844,1581.72132730261,1970.39244317414,1750.64661556541,1425.82105461939,1390.55892215977
