"ensembl_gene_id","hgnc_symbol","gene_biotype","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000229190","","lncRNA",0,0,0.544901465354334,0,11.2593853895665,0,0,2.20723638438059
"ENSG00000213626","LBH","protein_coding",2.23013626932319,0.49102288884271,0.544901465354334,18.0240618175117,349.040947076563,349.437367929064,93.1148443833074,92.703928143985
"ENSG00000299573","","lncRNA",0,1.47306866652813,8.17352198031501,0.439611263841748,0,0,0,0
"ENSG00000225980","OR7E19P","transcribed_unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000289278","","lncRNA",0,0,0,0,0,0,8.72951666093507,3.31085457657089
"ENSG00000294028","","lncRNA",0,0.98204577768542,4.35921172283467,2.19805631920874,5.0041712842518,3.45977592008974,2.90983888697836,4.41447276876119
"ENSG00000299586","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000240225","ZNF542P","transcribed_unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000187857","OR6C75","protein_coding",0,0,0.544901465354334,0,0,0,0,0
"ENSG00000299611","","lncRNA",0,0,0.544901465354334,0,0,0,2.90983888697836,0
"ENSG00000293468","","lncRNA",18.9561582892471,17.1858011094949,27.2450732677167,29.4539546773971,25.020856421259,20.7586555205385,8.72951666093507,16.5542728828545
"ENSG00000299626","","lncRNA",2.23013626932319,4.9102288884271,5.99391611889768,3.51689011073398,0,3.45977592008974,0,0
"ENSG00000299665","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000257414","OR6C73P","unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000304113","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000299232","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000304128","","lncRNA",0,1.47306866652813,0,0,0,0,0,0
"ENSG00000179899","PHC1P1","processed_pseudogene",31.7794418378554,33.880579330147,16.34704396063,24.6182307751379,10.0083425685036,13.839103680359,0,11.036181921903
"ENSG00000185821","OR6C76","protein_coding",0,0,0,0,0,0,0,0
"ENSG00000254233","LINC02365","lncRNA",28.9917715012014,31.9164877747762,45.2268216244097,41.3234588011243,1.25104282106295,0,0,0
"ENSG00000306555","","lncRNA",0,0,0,0,0,0,0,0
