"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000136213",295.533978242951,0.237985620643098,0.240044668022845,0.991422232384053,0.321479448679295,0.572311568494595
"ENSG00000139154",746.951874470114,0.20988520924106,0.211706234294391,0.991398339971421,0.32149111052445,0.572311568494595
"ENSG00000198663",2077.93043492828,0.11993896222997,0.12099280084334,0.991290071756128,0.321543959514555,0.572311568494595
"ENSG00000066777",2302.76630536773,0.140712869975261,0.141984680244803,0.991042623279149,0.321664767896445,0.572331687035541
"ENSG00000114019",867.399992018101,-0.175562248905186,0.17713652323162,-0.991112649736408,0.321630576831944,0.572331687035541
"ENSG00000130724",3758.60805326673,-0.109442764540375,0.110438335399842,-0.990985278292522,0.321692768883028,0.572331687035541
"ENSG00000245105",43.5514777397439,-0.548967831179681,0.553975620508225,-0.990960271277011,0.321704980058235,0.572331687035541
"ENSG00000137486",535.494310486209,-0.200723684185289,0.202637329686268,-0.990556303204634,0.321902283627109,0.572409794982502
"ENSG00000140264",1358.51875426329,-0.725398164592281,0.732196961944713,-0.990714523952169,0.321824997027861,0.572409794982502
"ENSG00000173638",313.467563990358,-0.231574869518187,0.233787264881536,-0.990536715656989,0.321911852462399,0.572409794982502
"ENSG00000179523",220.029192929406,-0.278976366281102,0.281655708665072,-0.990487171743584,0.321936056297791,0.572409794982502
"ENSG00000183044",836.774364392318,0.504877610565838,0.509687086877609,0.990563864701312,0.321898589762789,0.572409794982502
"ENSG00000064270",362.753611488514,-0.409476106244601,0.413510348968335,-0.990243913522845,0.322054913193122,0.572554549196144
"ENSG00000259803",45.5292828247386,-0.641618486487442,0.648088768261802,-0.990016364900577,0.322166120238868,0.572685671305805
"ENSG00000111206",2393.20266377746,0.115765411272935,0.116993654310609,0.989501626862492,0.322417774287014,0.573066393888496
"ENSG00000101574",420.787798392722,0.212037024058461,0.214363340616236,0.989147787345133,0.322590839837755,0.573252106056643
"ENSG00000169710",8323.31201198658,0.114090425123956,0.115343667804909,0.989134707567361,0.322597238415892,0.573252106056643
"ENSG00000164896",822.819501975632,-0.197015338520434,0.199200974659782,-0.989027984712016,0.322649449929094,0.573278263870065
"ENSG00000087365",4849.20813703704,-0.107190312716915,0.108389392126741,-0.988937299247661,0.322693819877291,0.573290484459586
"ENSG00000168118",1226.93445270242,0.14953291382877,0.151266160348555,0.988541743138113,0.322887401331113,0.573501132971779
"ENSG00000225442",38.2475490504783,0.629313672016724,0.636592751930056,0.988565562690963,0.322875742122849,0.573501132971779
"ENSG00000174173",1354.8580397968,0.142291329704976,0.14400065522796,0.988129737880165,0.323089113341803,0.573792756342567
"ENSG00000188636",1514.18152435086,-0.130453254137623,0.132038273884948,-0.987995755316324,0.32315472702914,0.573842635118172
"ENSG00000131067",127.841789722887,-0.402904688280248,0.407889856032724,-0.987778152168423,0.323261309740046,0.57389860527517
"ENSG00000225880",97.1610278892567,-0.469447711148743,0.47524393754869,-0.987803681558056,0.323248804177828,0.57389860527517
